name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,41.11,75,75,11.5,CL,1627161407
Ust'-Koksa,50.2696,85.6108,54.5,90,15,0.76,RU,1627161408
Port Elizabeth,-33.918,25.5701,53.89,76,40,4.61,ZA,1627161408
Butaritari,3.0707,172.7902,83.71,73,100,15.32,KI,1627161409
Hilo,19.7297,-155.09,81.63,76,90,6.91,US,1627161124
Tarrafal,15.2833,-23.7667,77.79,71,89,8.16,CV,1627161409
Bredasdorp,-34.5322,20.0403,47.19,68,15,4.36,ZA,1627161122
Barbacena,-21.2258,-43.7736,60.31,59,0,4.61,BR,1627161410
Rikitea,-23.1203,-134.9692,69.22,54,0,1.21,PF,1627161411
Port Macquarie,-31.4333,152.9167,53.98,63,1,11.48,AU,1627161411
Ushuaia,-54.8,-68.3,38.86,87,75,3.44,AR,1627161396
Sinnamary,5.3833,-52.95,79.84,84,100,12.19,GF,1627161411
Muros,42.7762,-9.0603,63.9,93,66,1.7,ES,1627161412
Caravelas,-17.7125,-39.2481,72.57,60,81,9.69,BR,1627161412
Margate,51.3813,1.3862,62.85,88,100,1.99,GB,1627161413
Killybegs,54.6333,-8.45,64.11,84,26,4.09,IE,1627161413
Hobart,-42.8794,147.3294,43.54,64,75,3.0,AU,1627161309
Jamestown,42.097,-79.2353,70.34,88,90,5.99,US,1627161414
Berezovyy,51.6667,135.7,73.67,71,97,4.14,RU,1627161414
Nikolskoye,59.7035,30.7861,54.7,69,46,3.69,RU,1627161119
Prado,-17.3411,-39.2208,71.89,67,97,11.01,BR,1627161415
Chernyshevskiy,63.0128,112.4714,56.84,73,70,2.68,RU,1627161415
Fredericton,45.9454,-66.6656,77.45,44,1,6.91,CA,1627161416
Warrnambool,-38.3833,142.4833,41.81,68,97,23.06,AU,1627161416
Busselton,-33.65,115.3333,55.04,68,98,16.08,AU,1627161140
Lüderitz,-26.6481,15.1594,64.65,27,14,5.7,NA,1627161417
Carnarvon,-24.8667,113.6333,59.07,71,100,10.36,AU,1627161417
Inverell,-29.7833,151.1167,44.46,80,78,5.99,AU,1627161418
Ilām,26.9167,87.9167,69.69,93,57,3.58,NP,1627161418
Port Lincoln,-34.7333,135.8667,53.31,72,72,17.07,AU,1627161352
Mataura,-46.1927,168.8643,43.48,88,100,3.56,NZ,1627161419
Aripuanã,-9.1667,-60.6333,92.66,32,33,1.39,BR,1627161419
Bosaso,11.2842,49.1816,89.29,44,83,18.77,SO,1627161419
Beloha,-25.1667,45.05,60.58,53,60,6.69,MG,1627161420
Unaí,-16.3575,-46.9061,70.25,34,0,4.07,BR,1627161259
Klaksvík,62.2266,-6.589,50.92,94,81,15.99,FO,1627161421
Fortuna,40.5982,-124.1573,65.37,70,1,12.66,US,1627161162
Adrar,20.5022,-10.0711,94.24,24,54,7.25,MR,1627161421
Roebourne,-20.7833,117.1333,69.58,44,100,7.23,AU,1627161422
East London,-33.0153,27.9116,55.92,69,0,15.39,ZA,1627161422
Wanning,18.8003,110.3967,79.16,86,34,7.9,CN,1627161423
Nome,64.5011,-165.4064,50.07,81,90,10.36,US,1627161416
Colares,38.7992,-9.4469,67.03,74,20,5.01,PT,1627161424
Brae,60.3964,-1.353,55.31,84,48,5.68,GB,1627161424
Severo-Kuril'sk,50.6789,156.125,55.89,94,51,0.87,RU,1627161424
Vieques,18.425,-65.8329,79.83,94,90,9.22,PR,1627161311
Hong Kong,22.2855,114.1577,80.87,92,98,1.99,HK,1627161353
Cape Town,-33.9258,18.4232,49.6,75,9,5.01,ZA,1627161301
San Juan,-31.5375,-68.5364,60.73,28,93,5.86,AR,1627161425
Iqaluit,63.7506,-68.5145,46.13,76,75,10.36,CA,1627161263
Rūdbār,30.15,62.6,92.3,14,1,6.64,AF,1627161426
Navahrudak,53.6,25.8333,59.54,84,28,3.36,BY,1627161427
Mount Gambier,-37.8333,140.7667,44.15,70,100,14.56,AU,1627161427
Ladispoli,41.9537,12.0735,78.13,77,50,4.68,IT,1627161428
Sitka,57.0531,-135.33,57.09,82,90,9.22,US,1627161429
Upernavik,72.7868,-56.1549,40.06,84,97,5.3,GL,1627161429
Albany,42.6001,-73.9662,78.33,49,83,6.89,US,1627161429
Saint Paul Harbor,57.79,-152.4072,58.51,82,75,8.05,US,1627161151
Bathsheba,13.2167,-59.5167,84.81,79,40,11.5,BB,1627161430
Bambous Virieux,-20.3428,57.7575,70.05,83,40,9.22,MU,1627161430
Jumla,29.2747,82.1838,61.72,95,98,1.07,NP,1627161431
Heze,35.2431,115.4411,75.36,86,0,5.82,CN,1627161431
San Joaquin,37.9333,-121.3011,94.51,22,1,9.22,US,1627161432
Avarua,-21.2078,-159.775,78.85,69,25,10.36,CK,1627161432
Saint George,37.1041,-113.5841,96.93,30,1,0.0,US,1627161369
Saint-Philippe,-21.3585,55.7679,66.45,78,47,5.17,RE,1627161433
Arraial do Cabo,-22.9661,-42.0278,69.66,68,0,16.11,BR,1627161433
Woodstock,43.1334,-80.7497,70.27,92,100,18.01,CA,1627161434
Ribeira Grande,38.5167,-28.7,73.27,89,89,9.95,PT,1627161435
Lorengau,-2.0226,147.2712,81.21,75,63,6.4,PG,1627161435
